日期,代號,均線,法人,收盤價
2026-04-15,6902.TW,1,0,85.4
2026-04-13,3521.TWO,1,0,13.8
2026-04-14,3521.TWO,1,0,14.4
2026-04-15,3521.TWO,1,0,14.15
2026-04-13,5443.TWO,1,0,117.5
2026-04-14,5443.TWO,1,0,117.0
2026-04-15,5443.TWO,1,0,112.0
2026-04-13,6240.TWO,-1,0,18.25
2026-04-14,6240.TWO,-1,0,18.55
2026-04-15,6240.TWO,1,0,18.75
2026-04-13,6829.TWO,1,0,139.0
2026-04-14,6829.TWO,1,0,149.0
2026-04-15,6829.TWO,1,0,158.5
2026-04-10,7860.TWO,1,0,62.0
2026-04-13,7860.TWO,1,0,62.0
2026-04-14,7860.TWO,1,0,62.0
2026-04-13,6971.TWO,-1,0,29.25
2026-04-14,6971.TWO,-1,0,29.3
2026-04-15,6971.TWO,-1,0,29.5
2026-04-13,6725.TWO,1,0,341.5
2026-04-14,6725.TWO,1,0,333.5
2026-04-15,6725.TWO,1,0,366.5
2026-04-13,7893.TWO,1,0,225.0
2026-04-14,7893.TWO,1,0,221.0
2026-04-15,7893.TWO,1,0,217.0
2026-04-13,7792.TWO,1,0,354.0
2026-04-14,7792.TWO,1,0,356.0
2026-04-15,7792.TWO,1,0,362.5
2026-04-13,7811.TWO,-1,0,87.8
2026-04-14,7811.TWO,-1,0,88.0
2026-04-15,7811.TWO,-1,0,90.9
2026-04-13,8937.TWO,1,0,38.0
2026-04-14,8937.TWO,-1,0,35.35
2026-04-15,8937.TWO,-1,0,34.3
2026-04-10,1589.TW,-1,0,5.54
2026-04-13,1589.TW,-1,0,5.54
2026-04-14,1589.TW,-1,0,5.54
2026-04-07,4132.TWO,-1,0,4.08
2026-04-08,4132.TWO,-1,0,5.04
2026-04-09,4132.TWO,-1,0,4.66
2026-04-07,4773.TWO,1,0,37.7
2026-04-08,4773.TWO,1,0,37.7
2026-04-09,4773.TWO,1,0,37.7
2026-04-10,3086.TWO,1,0,32.5
2026-04-13,3086.TWO,1,0,32.5
2026-04-14,3086.TWO,1,0,32.5
2026-04-13,4934.TW,-1,0,15.65
2026-04-14,4934.TW,-1,0,16.1
2026-04-15,4934.TW,-1,0,16.55
2026-04-13,6414.TW,1,0,287.5
2026-04-14,6414.TW,1,0,294.0
2026-04-15,6414.TW,1,0,293.5
2026-04-13,6555.TWO,1,0,23.95
2026-04-14,6555.TWO,1,0,25.85
2026-04-15,6555.TWO,1,0,26.7
2026-04-13,6277.TW,1,0,70.0
2026-04-14,6277.TW,1,0,70.7
2026-04-15,6277.TW,1,0,69.4
2026-04-13,4915.TW,1,0,73.6
2026-04-14,4915.TW,1,0,73.3
